sample_id,sensor_id,time,date,temperature,humidity
25498,1,00:13:16,2017-01-01,0.42,83
25500,1,00:43:57,2017-01-01,-0.09,86
25502,1,01:15:05,2017-01-01,-0.17,88
25504,1,01:45:46,2017-01-01,-0.15,87
25506,1,02:16:28,2017-01-01,-1.07,90
25508,1,02:47:10,2017-01-01,-0.99,90
25510,1,03:17:57,2017-01-01,-1.5,91
25512,1,03:48:44,2017-01-01,-1.28,90
25514,1,04:19:24,2017-01-01,-1.5,90
25516,1,04:50:05,2017-01-01,-1.47,90
25518,1,05:20:46,2017-01-01,-1.84,92
25520,1,05:51:25,2017-01-01,-2.08,92
25522,1,06:22:06,2017-01-01,-1.55,89
25524,1,06:52:46,2017-01-01,-1.82,90
25526,1,07:23:25,2017-01-01,-2.05,91
25528,1,07:54:04,2017-01-01,-1.79,91
25530,1,08:24:45,2017-01-01,-1.66,90
25532,1,08:55:28,2017-01-01,2.47,75
25534,1,09:26:10,2017-01-01,7.41,56
25536,1,09:56:51,2017-01-01,7.57,54
25538,1,10:27:32,2017-01-01,8.55,52
25540,1,10:58:12,2017-01-01,10.42,48
25542,1,11:28:53,2017-01-01,11.58,44
25544,1,11:59:34,2017-01-01,10.83,46
25546,1,12:30:16,2017-01-01,9.1,50
25548,1,13:01:00,2017-01-01,9.07,51
25550,1,13:31:43,2017-01-01,12.22,45
25552,1,14:02:26,2017-01-01,10.27,54
25554,1,14:33:08,2017-01-01,9.54,59
25556,1,15:03:50,2017-01-01,9.81,63
25558,1,15:34:32,2017-01-01,10.91,62
25560,1,16:05:13,2017-01-01,10.6,64
25562,1,16:35:56,2017-01-01,9.5,70
25564,1,17:06:36,2017-01-01,8.94,74
25566,1,17:37:18,2017-01-01,8.38,74
25568,1,18:07:59,2017-01-01,8.19,69
25570,1,18:38:39,2017-01-01,8.2,77
25572,1,19:09:21,2017-01-01,7.79,78
25574,1,19:40:03,2017-01-01,7.61,74
25576,1,20:10:44,2017-01-01,7.33,74
25578,1,20:41:28,2017-01-01,7.21,77
25580,1,21:12:08,2017-01-01,7.05,86
25582,1,21:42:51,2017-01-01,6.72,92
25584,1,22:13:32,2017-01-01,6.41,100
25586,1,22:44:16,2017-01-01,5.86,100
25588,1,23:14:59,2017-01-01,6.01,100
25590,1,23:45:43,2017-01-01,5.48,100
25592,1,00:16:23,2017-01-02,4.92,100
25594,1,00:47:06,2017-01-02,5.28,100
25596,1,01:18:31,2017-01-02,5.78,100
25598,1,01:49:12,2017-01-02,5.78,100
25600,1,02:19:51,2017-01-02,5.51,100
25602,1,02:50:34,2017-01-02,5.22,100
25604,1,03:21:15,2017-01-02,4.84,100
25606,1,03:51:56,2017-01-02,4.73,100
25608,1,04:22:36,2017-01-02,4.92,100
25610,1,04:53:16,2017-01-02,4.8,100
25612,1,05:23:54,2017-01-02,4.79,100
25614,1,05:54:31,2017-01-02,5.02,100
25616,1,06:25:11,2017-01-02,5.45,100
25618,1,06:55:53,2017-01-02,5.61,100
25620,1,07:26:34,2017-01-02,6,100
25622,1,07:57:15,2017-01-02,6.19,100
25624,1,08:27:54,2017-01-02,6.39,100
25626,1,08:58:38,2017-01-02,6.85,100
25628,1,09:29:23,2017-01-02,7.44,100
25630,1,10:00:04,2017-01-02,8.11,100
25632,1,10:30:50,2017-01-02,8.56,100
25634,1,11:01:32,2017-01-02,9.11,100
25636,1,11:32:25,2017-01-02,10.17,100
25638,1,12:03:13,2017-01-02,9.99,100
25640,1,12:34:04,2017-01-02,10.65,100
25642,1,13:04:47,2017-01-02,10.17,100
25644,1,13:35:27,2017-01-02,10.3,100
25646,1,14:06:08,2017-01-02,10.8,100
25648,1,14:36:55,2017-01-02,11.56,100
25650,1,15:07:37,2017-01-02,12.54,98
25652,1,15:38:19,2017-01-02,12.99,93
25654,1,16:09:01,2017-01-02,13.03,94
25656,1,16:39:45,2017-01-02,12.39,98
25658,1,17:10:26,2017-01-02,11.48,100
25660,1,17:41:11,2017-01-02,11.39,100
25662,1,18:11:56,2017-01-02,12.01,100
25664,1,18:42:40,2017-01-02,12.23,100
25666,1,19:13:23,2017-01-02,12.62,100
25668,1,19:44:12,2017-01-02,12.84,100
25670,1,20:14:52,2017-01-02,13.23,89
25672,1,20:45:45,2017-01-02,13.44,88
25674,1,21:16:27,2017-01-02,12.88,92
25676,1,21:47:09,2017-01-02,12.16,99
25678,1,22:17:50,2017-01-02,13.58,87
25680,1,22:48:32,2017-01-02,13.72,84
25682,1,23:19:13,2017-01-02,14.14,81
25684,1,23:49:55,2017-01-02,14.17,78
25686,1,00:20:34,2017-01-03,13.55,85
25688,1,00:51:16,2017-01-03,13.83,79
25690,1,01:22:40,2017-01-03,14.06,75
25692,1,01:53:22,2017-01-03,13.73,79
25694,1,02:24:04,2017-01-03,14.07,77
25696,1,02:54:44,2017-01-03,14.15,77
25698,1,03:25:23,2017-01-03,14.17,74
25700,1,03:56:03,2017-01-03,14.13,75
25702,1,04:26:46,2017-01-03,10.59,100
25704,1,04:57:26,2017-01-03,11.5,100
25706,1,05:28:06,2017-01-03,11.14,100
25708,1,05:58:48,2017-01-03,10.48,100
25710,1,06:29:29,2017-01-03,9.83,100
25712,1,07:00:07,2017-01-03,9.57,100
25714,1,07:30:49,2017-01-03,10.16,100
25716,1,08:01:30,2017-01-03,10.29,100
25718,1,08:32:12,2017-01-03,11,83
25720,1,09:02:54,2017-01-03,10.71,86
25722,1,09:33:35,2017-01-03,10.45,90
25724,1,10:04:17,2017-01-03,11.51,75
25726,1,10:34:59,2017-01-03,13.11,68
25728,1,11:05:43,2017-01-03,12.95,58
25730,1,11:36:26,2017-01-03,13.83,49
25732,1,12:07:10,2017-01-03,14.66,41
25734,1,12:37:57,2017-01-03,15.33,43
25736,1,13:08:42,2017-01-03,15.67,42
25738,1,13:39:24,2017-01-03,15.74,38
25740,1,14:10:06,2017-01-03,15.6,39
25742,1,14:40:48,2017-01-03,12.21,45
25744,1,15:11:34,2017-01-03,13.34,45
25746,1,15:42:18,2017-01-03,11.62,49
25748,1,16:13:01,2017-01-03,11.55,47
25750,1,16:43:49,2017-01-03,9.74,51
25752,1,17:14:36,2017-01-03,9.68,45
25754,1,17:45:18,2017-01-03,9.24,44
25756,1,18:15:59,2017-01-03,8.75,45
25758,1,18:46:43,2017-01-03,8.03,51
25760,1,19:17:25,2017-01-03,7.16,55
25762,1,19:48:06,2017-01-03,6.26,58
25764,1,20:18:52,2017-01-03,5.43,62
25766,1,20:49:38,2017-01-03,5.37,62
25768,1,21:20:20,2017-01-03,4.27,68
25770,1,21:51:06,2017-01-03,4.83,66
25772,1,22:21:48,2017-01-03,2.8,75
25774,1,22:52:30,2017-01-03,2.55,75
25776,1,23:23:09,2017-01-03,1.64,78
25778,1,23:53:51,2017-01-03,2.06,74
25780,1,00:24:32,2017-01-04,2.15,75
25782,1,00:55:14,2017-01-04,1.03,81
25784,1,01:26:39,2017-01-04,0.53,83
25786,1,01:57:20,2017-01-04,0.97,82
25788,1,02:28:00,2017-01-04,0.9,84
25790,1,02:58:40,2017-01-04,0.3,86
25792,1,03:29:21,2017-01-04,0.25,84
25794,1,04:00:08,2017-01-04,-0.55,90
25796,1,04:30:51,2017-01-04,-0.59,89
25798,1,05:01:31,2017-01-04,-0.92,90
25800,1,05:32:11,2017-01-04,-1.32,97
25802,1,06:02:51,2017-01-04,-0.96,95
25804,1,06:33:31,2017-01-04,-1.175,95.5
25805,1,06:38:25,2017-01-04,-1.39,96
25807,1,07:09:05,2017-01-04,-1.66,98
25809,1,07:39:48,2017-01-04,-1.6,99
25811,1,08:10:30,2017-01-04,-0.63,95
25813,1,08:41:10,2017-01-04,1.2,88
25815,1,09:11:52,2017-01-04,2.71,78
25817,1,09:42:31,2017-01-04,5.66,66
25819,1,10:13:11,2017-01-04,8.18,54
25821,1,10:43:57,2017-01-04,10.58,49
